english_title,japanese_title,producer,serial,date,category
Honkaku Mahjong - Tetsuman,本格麻雀 徹萬,ナグザット / Naxat Soft,SHVC-OM,1993-09-24,Table Game / Mahjong
Higashio Osamu Kanshuu - Super Pro Yakyuu Stadium,東尾 修 監修 スーパープロ野球スタジアム,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / Tokuma Japan Communications / Tokuma Shoten Intermedia,SHVC-PK,1993-09-30,Sports / Baseball
The Hunt For Red October,レッド・オクトーバー,アルトロン / Altron,SHVC-RO / SNS-RO,1993-10-01 / 1993-01-01,Shooter / Horizontal
Trinea,トリネア,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-T6,1993-10-01,Action / RPG
Super 3D Baseball,スーパー3Dベースボール,ジャレコ / Jaleco,SHVC-3D,1993-10-01,Sports / Baseball
Viking no Daimeiwaku,バイキングの大迷惑,ティーアンドイーソフト / T&E Soft / Interplay / Silicon & Synapse,SHVC-VD,1993-10-08,Action / Platformer
Super Kyousouba - Kaze no Sylphid,スーパー競走馬 風のシルフィード,キングレコード / King Records,SHVC-KJ-(KIS-2),1993-10-08,Sports / Horse Racing (競馬)
Suzuka 8 Hours,スズカエイトアワーズ,ナムコ / Namcot,SHVC-8H / SNS-8H,1993-10-15 / 1993-01-01,Sports / Bike Racing (競馬)
Super Casino - Caesars Palace,スーパーカジノ シーザースパレス,ココナッツジャパン / ヴァージンゲーム / Coconuts Japan / Illusions / Virgin Games,SHVC-KH,1993-10-21,Gambling / Casino
Arcus Spirits,アークス・スピリッツ,サミー / ウルフチーム（日本テレネット） / Sammy / Wolfteam (Telenet Japan),SHVC-A4,1993-10-22,RPG / Hack 'n Slay
Miracle Girls - Tomomi to mi Kage no Fushigi Sekai no Dai Bouken,ミラクルガールズ ともみとみかげの不思議世界の大冒険,タカラ / Takara,SHVC-QP,1993-10-22,Action
Ranma 1/2 - Akanekodan Teki Hihou,らんま1/2 朱猫団的秘宝,"東宝, 小学館プロダクション / るーみっくソフト, アトリエドゥーブル / Shogakukan Production / TOHO / Rumic Soft / Atelier Double/",SHVC-R4,1993-10-22,RPG
ActRaiser 2 - Chinmoku heno Seisen,アクトレイザー2 〜沈黙への聖戦〜,エニックス / クインテット / Enix / Quintet,SHVC-A8 / SNS-A8-USA,1993-10-29 / 1993-11-01,Action / RPG
Shougi Fuurin Kazan,将棋 風林火山,ポニーキャニオン / Pony Canyon,SHVC-FJ-(R88V5947),1993-10-29,Table Game / Shougi
Choujikuu Yousai Macross - Scrambled Valkyrie,超時空要塞マクロス スクランブルバルキリー,"バンプレスト, ザムス/ウィンキーソフト / Banpresto, Zamuse / Winkysoft",SHVC-M9,1993-10-29,Shooter / Horizontal
Super Chinese World 2 - Uchuu Ichibuto Daikai,スーパーチャイニーズワールド2 宇宙一武闘大会,カルチャーブレーン / Culture Brain,SHVC-CU,1993-10-29,Action
Soukou Kihei Votoms - The Battling Road,装甲騎兵ボトムズ ザ・バトリングロード,タカラ/元気 / Takara / Genki,SHVC-VO,1993-10-29,Shooter / Behind
Hatayama Hachi no Pro Yakyuu News Jitsmeiban,はた山ハッチのパロ野球ニュース！実名版,エポック社 / アジェンダ / Epoch / Agenda,SHVC-EB,1993-10-29,Sports / Baseball
Utopia - The Creation of a Nation,ユートピア,エピック・ソニーレコード （ソニー・ミュージックエンタテインメント） / Epic Sony Records (Sony Music Entertainment),SHVC-UP-(ESPG49) / SNS-UP,1993-10-29 / 1993-01-01,Strategy
Classic Road,クラシック・ロード,ビクターエンタテインメント / イスコ/プログレス / Victor Entertainment / ISCO / Progress,SHVC-V7,1993-10-29,Sports / Horse Racing (競馬)
Super Nichibutsu Mahjong 2 - Zenkoku Seiha Hen,スーパーニチブツマージャン2 全国制覇篇,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-2N,1993-10-29,Table Game / Mahjong
Ryuuko no Ken,龍虎の拳,ケイ・アミューズメントリース / エス・エヌ・ケイ / K. Amusement Leasing Co. / SNK,SHVC-RW,1993-10-29,Fighting / Hand To Hand
Jimmy Connors Pro Tennis Tour,ジミーコナーズのプロテニスツアー,"ミサワエンターテインメント / Ubisoft, Blue Byte / Misawa Entertainment",SHVC-JC / SNS-JC,1993-10-29 / 1994-01-01,Sports / Tennis
Aqutallion,アクタリオン,テクモ / テクモソフトプロダクツ / Tecmo / Tecmo Soft Products,SHVC-AQ / SNS-AQ,1993-11-05 / 1995-07-01,RPG
The Ring: Final Knockout,ファイナル ノックアウト,パック・イン・ビデオ / エレクトロブレイン / Pack-in-Video / Electro Brain / Sculptured Software,SHVC-LL,1993-11-05,Sports / Boxing
Kamen Rider Kyoufu! Fukkatsu no Shokkaa Gundan!!,仮面ライダー 恐怖！復活のショッカー軍団！！,バンダイ / Bandai,SHVC-K4,1993-11-12,Action / Beat 'em Up
Wakataka Oozumo: Yume no Kyoudai Taiketsu,若貴大相撲 夢の兄弟対決,イマジニア / トムキャットシステム / Imagineer / Tomcat System,SHVC-OW,1993-11-12,Sports / Sumo (相撲)
Super UNO,スーパーUNO,トミー / Tomy,SHVC-UN,1993-11-12,Table Game / Cards
Solstice 2,ソルスティスII,エピック・ソニーレコード（ソニー・ミュージックエンタテインメント） / Epic Sony Records (Sony Music Entertainment),SHVC-EX-(ESPG48),1993-11-12,Table Game
Final Stretch,ファイナル・ストレッチ 鈴木亜久里監修,"ロジーク（ジー・アミューズメンツ） / 元気 / Lozc G.Amusements / Genki, A. Company",SHVC-OP,1993-11-12,Sports / Formula Racing (競馬)
Ys 4 - Mask of the Sun,イースIV マスク オブ ザ サン,トンキンハウス / 日本ファルコム / Tonkin House / Falcom,SHVC-Y4,1993-11-19,Action / RPG
Battle Master - Kyuukyoku no Senshitachi,バトル・マスター 究極の戦士たち,東芝EMI / Toshiba EMI / System Vision,SHVC-5B-(TOPN-2005),1993-11-19,Fighting / Hand To Hand
Pachi-Slot Love Story,ラブストーリー パチスロ,ココナッツ・ジャパン / Coconuts Japan,SHVC-P5,1993-11-19,Gambling / Pachinko
Yuujin Janjuu Gakuen,遊人 雀獣学園,バリエ / Varie,SHVC-UJ,1993-11-19,Table Game
Riddick Bowe Boxing,リディック・ボウ ボクシング,マイクロネット / Micronet / Extreme Entertainment,SHVC-XG / SNS-XG,1993-11-23 / 1994-01-01,Sports / Boxing
Super H.Q. Criminal Chaser,スーパーH.Q. クリミナルチェイサー,タイトー / Taito,SHVC-HF,1993-11-26,Sports / Racing (競馬)
Aladdin,アラジン,カプコン / Capcom,SHVC-RJ / SNS-RJ-USA,1993-11-26 / 1993-01-01,Action / Platformer
Ardy Lightfoot,アルディライトフット,アスキー / ASCII,SHVC-A9 / SNS-A9,1993-11-26 / 1996-02-01,Action / Side Scrolling
Nobuhiro Takeda no Super Cup Soccer,武田修宏のスーパーカップサッカー,ジャレコ / Jaleco,SHVC-JV,1993-11-26,Sports / Soccer
ABC Monday Night Football,ABC マンデーナイトフットボール,データイースト / 空想科学 / Data East / Kuusoukagaku,SHVC-N5 / SNS-N5,1993-11-26 / 1993-01-01,Sports / Football
Tecmo Super Bowl,テクモスーパーボウル,テクモ / Tecmo,SHVC-7T / SNS-7T,1993-11-26 / 1993-11-01,Sports / Football
Garou Densetsu 2 - Aratanaru Tatakai,餓狼伝説2 —新たなる闘い—,タカラ / エス・エヌ・ケイ / Takara / SNK,SHVC-DJ,1993-11-26,Fighting / Hand To Hand
Accele Brid,アクセルブリッド,トミー / 元気 / Tomy / Genki,SHVC-AY,1993-11-26,Shooter / Behind
Jissen! Pachi-Slot Hisshouhou!,実戦！パチスロ必勝法！,サミー / Sammy,SHVC-PI,1993-11-26,Gambling / Pachinko
Dynamic Stadium,ダイナミック スタジアム,サミー / Sammy,SHVC-YD,1993-11-26,Sports / Baseball
Yadamon Wonderland Dreams,ヤダモン ワンダランドドリーム,徳間ジャパンコミュニケーションズ / 徳間書店 / シャウトデザインワークス / Tokuma Japan Communications / Tokuma Soft / Shout! Designworks,SHVC-YA,1993-11-26,Adventure
Aretha,アレサ,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-YJ,1993-11-26,RPG / Turn Based
F-15 Super Strike Eagle,F-15 スパーストライクイーグル,アスミック / マイクロプローズ / Asmik / Micro Prose,SHVC-EG,1993-11-26,Strategy
Onizuka Katsuya Super Virtual Boxing,鬼塚勝也スーパーヴァーチャルボクシング 〜真拳闘王伝説〜,ソフエル / Sofel,SHVC-OV,1993-11-26,Sports / Boxing
Gaia Gensouki,ガイア幻想紀,エニックス / クインテット / Enix / Quintet,SHVC-JG / SNS-JG,1993-11-27,Action / RPG
Soul & Sword,ソウル アンド ソード,"バンプレスト, ザムス / パンドラボックス / Banpresto, Zamuse / Pandora Box",SHVC-SV,1993-11-30,RPG
Super Mahjong 2 - Honkaku 4 Nin Uchi!,スーパーま〜じゃん 麻雀2 本格4人打ち！,アイマックス / I'MAX,SHVC-2A,1993-12-02,Table Game / Mahjong
Super Kyuukyoku Harikiri Stadium,スーパー究極ハリキリスタジアム,タイトー / Taito,SHVC-HI,1993-12-03,Sports / Baseball
Kikuni Masahiko no Jantoushi Dora Ou 2,喜国雅彦の雀闘士 銅鑼王2,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-2K,1993-12-03,Table Game / Mahjong
Teenage Mutant Ninja Turtles: Mutant Warriors,T.M.N.T. ミュータントウォーリアーズ,コナミ / Konami,SHVC-KY,1993-12-03,Fighting
NBA Pro Basketball '94 - Bulls vs. Suns,NBAプロバスケットボール'94 ブルズVSサンズ,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-6N,1993-12-03,Sports / Basketball
Nobunaga no Yabou - Haouden,信長の野望 覇王伝,光栄 / Koei,SHVC-NK,1993-12-09,Strategy
Super Puyo Puyo,す〜ぱ〜ぷよぷよ,バンプレスト / コンパイル / Banpresto / Compile,SHVC-PQ,1993-12-10,Puzzle / Matching
Romancing Sa-Ga 2,ロマンシング サ·ガ2,スクウェア / Square,SHVC-2L,1993-12-10,RPG / Turn Based
Hakunetsu Pro Yakyuu '94 - Ganba League 3,白熱プロ野球'94 ガンバリーグ3,エピック・ソニーレコード（ソニー・ミュージックエンタテインメント） / Epic Sony Records (Sony Music Entertainment),SHVC-E3-(ESPG50),1993-12-10,Sports / Baseball
Cool Spot,クールスポット,ヴァージンゲーム / Virgin Games,SHVC-C8 / SNS-C8,1993-12-10 / 1993-09-01,Action / Side Scrolling
Kessen! Dokapon Oukoku 4 - Densetsu no Yusha Tachi,決戦！ドカポン王国IV 〜伝説の勇者たち〜,アスミック / Asmik,SHVC-IX,1993-12-10,Table Game
Keiba Eight Special - Hi Baken Kounyuu Jutsu,競馬エイトスペシャル ○秘 馬券購入術,ミサワエンターテインメント / Misawa Entertainment,SHVC-8K,1993-12-10,Sports / Horse Racing (競馬)
Plok!,プロック,アクティビジョンジャパン / Activision,SHVC-P4 / SNS-P4,1993-12-10 / 1993-09-01,Action / Side Scrolling
Dragon Ball Z - Super Butouden 2,ドラゴンボールZ 超武闘伝2,バンダイ / Bandai,SHVC-EF,1993-12-17,Fighting / Hand To Hand
Alcahest,アルカエスト,スクウェア / ハル研究所 / Square / HAL Laboratory,SHVC-LX,1993-12-17,Action
Rushing Beat Shura,ラッシング・ビート 修羅,ジャレコ / Jaleco,SHVC-R6,1993-12-17,Action / Beat 'em Up
Rockman X,ロックマンエックス,カプコン / Capcom,SHVC-RX,1993-12-17,Action / Platformer
Wondrous Magic,ワンダラスマジック,アスキー / システムサコム / ASCII / System Sacom,SHVC-UH,1993-12-17,RPG
Doraemon 2 - Nobita no Toys Land Daibouken,ドラえもん2 のび太のトイズランド大冒険,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-2D,1993-12-17,Action / Platformer
Dolucky no Kusayakiu,ドラッキーの草やきう,"イマジニア, イマジニアズーム / Imagineer, Imagineer-Zoom",SHVC-IM,1993-12-17,Sports / Baseball
Super Star Wars - The Empire Strikes Back,スーパー・スター・ウォーズ 帝国の逆襲,ビクターエンタテインメント / ルーカスアーツ / Victor Entertainment / Lucas Arts,SHVC-V9 / SNS-E5,1993-12-17 / 1993-06-01,Action / Side Scrolling
Pachinko Wars II,パチンコウォーズII,ココナッツジャパン / エルステッド / Coconuts Japan / Orested,SHVC-P6,1993-12-17,Gambling / Pachinko
Holy Striker,ホーリーストライカー,ヘクト / アクシズ アート アミューズ / hector / Axes Art Amuse,SHVC-AI,1993-12-17,Action
Yume Maboroshi no Gotoku,夢幻の如く,インテック / Intec,SHVC-UG,1993-12-17,RPG
Downtown Nekketsu Baseball Monogatari - Baseball de Shoubu da! Kunio-kun,ダウンタウン熱血べーすぼーる物語 野球で勝負だ！くにおくん,テクノスジャパン / Technos Japan,SHVC-NV,1993-12-17,Sports / Baseball
Dragon Quest 1 & 2,ドラゴンクエストI・II,エニックス / チュンソフト / Enix / Chun Soft,SHVC-DQ,1993-12-18,RPG
Ganbare Goemon 2 - Kiteretsu Shougun Magginesu,がんばれゴエモン2 奇天烈将軍マッギネス,コナミ / Konami,SHVC-KL,1993-12-22,Action / Side Scrolling
Yuu Yuu Hakusho,幽☆遊☆白書,ナムコ / Namcot,SHVC-YY,1993-12-22,Adventure
Ganbare! Daiku no Gensan,がんばれ！大工の源さん,アイレム / IREM,SHVC-EZ,1993-12-22,Action
Flashback - The Quest for Identity,フラッシュバック,サンソフト（サン電子） / Sunsoft (Sun Electronics) / Delphine Software International / US Gold,SHVC-LQ / SNS-LQ,1993-12-22,Action / Platformer
Hebereke no Popoon,へべれけのぽぷーん,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-HU,1993-12-22,Puzzle / Matching
Super Godzilla,超ゴジラ,東宝 / TOHO,SHVC-7G / SNS-7G,1993-12-22 / 1994-07-01,Strategy
Space Funky B.O.B.,スペースファンキーB.O.B.,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / Gray Matter,SHVC-B4 / SNS-B4,1993-12-22 / 1994-06-01,Action / Platformer
King of the Monsters 2 - The Next Thing,キング・オブ・ザ・モンスターズ2,タカラ / エス・エヌ・ケイ / Takara / SNK,SHVC-KT,1993-12-22,Action / Beat 'em Up
Bing Bing! Bingo,ビンビン！ビンゴ,ケイエスエス / KSS,SHVC-3K,1993-12-22,Gambling
Ace o Nerae!,エースをねらえ！,日本テレネット / Telenet Japan,SHVC-EE,1993-12-22,Sports / Tennis
Shin Momotarou Densetsu,新 桃太郎伝説,ハドソン / Hudson,SHVC-M5,1993-12-24,RPG / Turn Based
Human Grand Prix 2,ヒューマングランプリ2,ヒューマン / Human,SHVC-2G,1993-12-24,Sports / Formula Racing (競馬)
John Madden NFL Pro Football '94,NFLプロフットボール'94 ジョンマッデン,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / High Score Productions,SHVC-9M,1993-12-24,Sports / Football
Hokuto no Ken 7 - Seiken Retsuden - Den Shou Sha he no Michi,北斗の拳7 聖拳列伝 伝承者への道,東映動画 / ショウエイシステム / Toei Animation / Shouei System,SHVC-K7,1993-12-24,Fighting / Hand To Hand
Tetris Battle Gaiden,テトリスバトル 武闘外伝,ビー・ピー・エス / Bullet-Proof Software / Elorg,SHVC-4G,1993-12-24,Puzzle / Arranging
Mortal Kombat - Shinken Kourin Densetsu,モータルコンバット 神拳降臨伝説,アクレイムジャパン / Acclaim Japan / Sculptured Software / Midway,SHVC-KX / SNS-KX,1993-12-24 / 1993-09-13,Fighting / Hand To Hand
Monster Maker 3 - Hikari no Majyutsushi,モンスターメーカー3 光の魔術士,ソフエル / Sofel,SHVC-3M,1993-12-24,RPG
Little Magic,リトル・マジック,アルトロン / Altron,SHVC-LI,1993-12-24,Puzzle
Bishin Densetsu Zoku - The Legend of Bishin,美神伝説 Zoku,マジファクト / Magifact,SHVC-ZK,1993-12-25,Sports / Racing (競馬)
Soccer Kid,サッカーキッド,やのまん / Yanoman / Krisalis Software Limited,SHVC-YK,1993-12-28,Action / Side Scrolling
Zen Nippon Pro-Wrestling Dash - Sekai Saikyou Tag,全日本プロレス’ 世界最強タッグ ダッシュ,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-2J,1993-12-28,Sports / Wrestling
Bishoujo Senshi Sailor Moon R,美少女戦士セーラームーンR,バンダイ / Bandai,SHVC-2Q,1993-12-29,Action
Yokoyama Mitsuteru - Sangokushi 2,横山光輝 三国志2,エンジェル / Angel,SHVC-32,1993-12-29,Strategy
Super Fire Pro Wrestling 3: Final Bout,スーパーファイヤープロレスリング3 ファイナルバウト,ヒューマン / Human,SHVC-F3,1993-12-29,Sports / Wrestling
Rock N' Roll Racing,ロックンロールレーシング,"ナムコ / Namcot / Interplay, Silicon & Synapse",SHVC-RN / SNS-RN,1994-01-03 / 1993-01-01,Sports / Racing (競馬)
Battletoads In Battlemaniacs,バトルトード イン バトルマニアック,メサイヤ（日本コンピューターシステム） / レア / Masiya (NCS) / Rare Ltd.,SHVC-NX / SNS-NX,1994-01-07 / 1993-06-01,Action / Beat 'em Up
TwinBee - Rainbow Bell Adventure,ツインビー レインボーベルアドベンチャー,コナミ / Konami,SHVC-T7,1994-01-07,Action / Platformer
World Class Rugby 2 - Kokunai Gekitou Hen '93,ワールドクラス ラグビー2 国内激闘編'93,ミサワエンターテインメント / Misawa Entertainment,SHVC-2R,1994-01-07,Sports / Rugby
Super Pinball - Behind The Mask,スーパー・ピンボール ビハインド・ザ・マスク,メルダック / カゼ / Meldac / Kaze,SHVC-3P / SNS-XP,1994-01-08 / 1994-11-01,Simulation / Pinball
Hisshou 777 Fighter - Pachi-Slot Ryuuguu Densetsu,必勝スリーセブンファイター パチスロ竜宮伝説,"バップ, パチンコ○秘情報編集部 / VAP (NTV)",SHVC-IH,1994-01-14,Gambling / Pachinko
Fire Emblem - Monshou no Nazo,ファイアーエムブレム 紋章の謎,任天堂 / インテリジェントシステムズ / Nintendo / Intelligent Systems,SHVC-EM,1994-01-21,Strategy / RPG
The Ninja Warriors Again,ザ・ニンジャウォーリアーズ アゲイン,タイトー/ナツメ / Taito / Natsume,SHVC-NI,1994-01-28,Action / Beat 'em Up
Brain Lord,ブレインロード,"エニックス / オプス, プロデュース / Enix / Opus, Produce!",SHVC-3B / SNS-3B,1994-01-28 / 1994-09-01,Action / RPG
Gaia Saver - Hero Saidai no Sakusen,ガイアセイバー ヒーロー最大の作戦,バンプレスト / Banpresto,SHVC-G9,1994-01-28,Action / RPG
The Great Battle Gaiden 2,ザ・グレイトバトル外伝2 祭だワッショイ,バンプレスト / Banpresto,SHVC-K8,1994-01-28,Action
Majin Tensei,魔神転生,アトラス / Atlus,SHVC-ZM,1994-01-28,Strategy
Koutetsu no Kishi 2: Sabaku no Rommel Shougun,鋼鉄の騎士2 砂漠のロンメル軍団,アスミック / ジェネラルサポート / デュアル / Asmik / General Support / Dual,SHVC-2Z,1994-01-28,Strategy
Bastard!! - Ankoku no Hakaishin,バスタード！！ —暗黒の破壊神—,コブラチーム / バンダイ / Cobra Team / Bandai,SHVC-VC,1994-01-28,Fighting / Hand To Hand
Itou Hate Rokudan no Shougi Doujou,伊藤果六段の将棋道場,アスク講談社 / Ask Kodansha,SHVC-Q2,1994-02-04,Table Game / Shougi
Super Fire Pro Wrestling 3 Easy Type,スーパーファイヤープロレスリング3 イージータイプ,ヒューマン / Human,SHVC-3E,1994-02-04,Sports / Wrestling
Olivia's Mystery,オリビアのミステリー,アルトロン / Altron,SHVC-ZY,1994-02-04,Puzzle
Wolfenstein 3D - The Claw of Eisenfaust,ウルフェンシュタイン3D,イマジニア / Imagineer / Id Software,SHVC-6W,1994-02-10,Shooter / First Person
Top Management 2,トップマネジメントII,光栄 / Koei,SHVC-QC,1994-02-11,Strategy
Super Zugan - Hakotenjou Kara no Shoutaijou,スーパーヅガン —ハコテン城からの招待状—,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-ZU,1994-02-11,Table Game / Mahjong
Sword Maniac,ソード・マニアック,東芝EMI / Toshiba EMI,SHVC-S5-(TOPN-2003),1994-02-11 / 1994-02-01,Action / Beat 'em Up
Virtual Wars,バーチャルウォーズ,"ココナッツジャパン, GXメディア / Coconuts Japan, GX Media / Sales Curve Interactive",SHVC-VJ,1994-02-11,Action
Hiouden - Mamono-tachi Tono Chikai,緋王伝 魔物達との誓い,ウルフチーム（日本テレネット） / Wolfteam (Telenet Japan),SHVC-HR,1994-02-11,Strategy
Derby Stallion II,ダービースタリオンII,アスキー / パリティビット / ASCII / Parity Bit,SHVC-A7,1994-02-18,Sports / Horse Racing (競馬)
Tetsuwan Atom,鉄腕アトム,"バンプレスト, ザムス / Banpresto, Zamuse",SHVC-ZB,1994-02-18,Action / Side Scrolling
Tatakae Genshijin 3 - Shuyaku ha Yappari - Joe & Mac,ジョー アンド マック 戦え原始人3 主役はやっぱりJOE & MAC,データイースト / Data East,SHVC-J3,1994-02-18,Action / Side Scrolling
Karuraou,カルラオウ 迦楼羅王,エピック・ソニーレコード（ソニー・ミュージックエンタテインメント） / 浮世亭 / Epic Sony Records (Sony Music Entertainment) / Ukiyotei,SHVC-OH-(ESPG51),1994-02-18,Action / Beat 'em Up
Desert Fighter - Suna no Arashi Sakusen,デザートファイター：砂の嵐作戦,セタ / オーパス / Seta / Opus,SHVC-OS,1994-02-18,Shooter / 360
Dai Koukai Jidai 2,大航海時代II,光栄 / Koei,SHVC-QL,1994-02-25,Strategy
Uchuu Race - Astro Go! Go!,宇宙レース アストロ ゴー！ゴー！,メルダック / カゼ / Meldac / Kaze,SHVC-3A,1994-02-25,Sports / Racing (競馬)
Sougou Kakutougi Astral Bout 2 - The Total Fighters,アストラルバウト2 総合格闘技,キングレコード / King Records / A Wave,SHVC-EJ-(KIS-3),1994-02-25,Sports / Wrestling
T2 - The Arcade Game,T2 ザ・アーケードゲーム,"アクレイムジャパン, ヒロ / Acclaim Japan, Hiro / Ljn, Probe / Midway",SHVC-XV,1994-02-25,Shooter / Target
Ramos Rui no World Wide Soccer,ラモス瑠偉の ワールドワイドサッカー,"パック・イン・ビデオ / エレクトロブレイン / Pack-in-Video / Electro Brain, Sculptured Software",SHVC-6K,1994-02-25,Sports / Soccer
Cyborg 009,サイボーグ009,ベック / Interbec,SHVC-S9,1994-02-25,Action / Platformer
Sutobasu Yarou Show - 3 On 3 Basketball,ストバスヤロウ将,ビーアイ / B-AI,SHVC-3X,1994-02-25,Sports / Basketball
Pachi-Slot Land - Pachi Pachi Coin no Densetsu,パチスロランド ぱちぱちコインの伝説,カロッツェリアジャパン / Carrozzeria Japan,SHVC-7P,1994-02-25,Gambling / Pachinko
Itadaki Street 2 - Neon Sign ha Bara Iro ni,いただきストリート2 ネオンサインはバラ色に,エニックス / トムキャットシステム / Enix / Tomcat System,SHVC-I2,1994-02-26,Table Game
Super Honmei - GI Seiha,ジーワン スーパー本命 G I 制覇,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-IK (07),1994-02-28,Sports / Horse Racing (競馬)
Super Famista 3,スーパーファミスタ3,ナムコ / Namcot,SHVC-N6,1994-03-04,Sports / Baseball
The King of Dragons,ザ・キングオブドラゴンズ,カプコン / Capcom,SHVC-EI / SNS-EI,1994-03-04 / 1994-01-01,Action / Beat 'em Up
Kabuki Rocks,カブキロックス,アトラス/レッド / Atlus / RED,SHVC-QR,1994-03-04,RPG
Zico Soccer,ジーコ サッカー,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-ZD,1994-03-04,Sports / Soccer
Super Loopz,スーパーループス,イマジニア / Imagineer / Audiogenic Software Limited,SHVC-2E,1994-03-04,Puzzle
First Queen - Ornic Senki,ファーストクイーン オルニック戦記,カルチャーブレーン / Culture Brain,SHVC-OQ,1994-03-11,Strategy
Sugoi Hebereke,すごいへべれけ,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-QH,1994-03-11,Action
Galaxy Robo,ギャラクシーロボ,イマジニア / Imagineer,SHVC-XY,1994-03-11,Strategy
Lethal Enforcers,リーサルエンフォーサーズ,コナミ / Konami,SHVC-LK / SNS-LK,1994-03-11 / 1994-01-01,Shooter / Target
Jikkyou Powerful Pro Yakyuu '94,実況パワフルプロ野球'94,コナミ / Konami,SHVC-YX,1994-03-11,Sports / Baseball
Zan 3 Spirits,斬III スピリッツ,ウルフチーム（日本テレネット） / Wolfteam (Telenet Japan),SHVC-Z3,1994-03-11,Strategy
Kidou Senshi V Gundam,機動戦士Vガンダム,バンダイ / Bandai,SHVC-VU,1994-03-11,Action
J League Super Soccer,Jリーグ スーパーサッカー,ハドソン / Hudson,SHVC-VX,1994-03-18,Sports / Soccer
Sonic Blast Man 2,ソニックブラストマンII,タイトー / Taito,SHVC-2C,1994-03-18,Action / Beat 'em Up
Advanced Dungeons & Dragons - Eye of the Beholder,AD&D アイ・オブ・ザ・ビホルダー,カプコン / Capcom / TSR,SHVC-IB,1994-03-18,RPG / First Person
Asameshimae Nyanko,あさめしまえにゃんこ,"バンプレスト, ザムス / Banpresto, Zamuse / J-Force",SHVC-ZC,1994-03-18,Puzzle
Dokuritsu Sensou - Liberty Or Death,リバティ・オア・デス 独立戦争,光栄 / Koei,SHVC-QI,1994-03-18,Strategy
Shin Megami Tensei 2,真・女神転生II,アトラス / Atlus,SHVC-ZE,1994-03-18,RPG
Kingyo Chuihou! Tobidase Game Gakuen,きんぎょ注意報！ とびだせ！ゲーム学園,ジャレコ / Jaleco,SHVC-J7,1994-03-18,Action
Side Pocket,サイドポケット,データイースト / Data East / Iguana Entertainment,SHVC-4P / SNS-4P,1994-03-18 / 1993-12-01,Sports / Billiards
Derby Jockey - Kishu Ou he no Michi,ダービージョッキー 騎手王への道,アスミック / Asmik,SHVC-JQ,1994-03-18,Sports / Horse Racing (競馬)
Gambler Jiko Chuushinha 2: Dorapon Quest,ぎゅわんぶらあ自己中心派2 ドラポンクエスト,パック・イン・ビデオ / ゲームアーツ / イエローホーン / Pack-in-Video / GameArts / Yellow Horn,SHVC-8G,1994-03-18,Table Game / Mahjong
The Game of Life - Super Jinsei Game,SUPER 人生ゲーム,タカラ / ダイナマイト / Takara / Dynamite,SHVC-LG,1994-03-18,Table Game
Super Naxat Open - Golf de Shoubu da! Dorabocchan,スーパーナグザットオープン ゴルフで勝負だ！どらぼっちゃん,ナグザット / 空想科学 / Naxat Soft / Kuusoukagaku,SHVC-XD,1994-03-18,Sports / Golf
Idea no Hi,イデアの日,ショウエイシステム / Shouei System,SHVC-ID,1994-03-18,RPG
The Blue Crystal Rod,ザ ブルークリスタルロッド,ナムコ / ゲームスタジオ / Namcot / Game Studio,SHVC-NU,1994-03-25,RPG / First Person
Space Invaders - The Original Game,スペースインベーダー ザ・オリジナルゲーム,タイトー / Taito,SHVC-IC / SNS-IC,1994-03-25,Shooter / Classic
Nangoku Shounen Papuwa-kun,南国少年パプワくん,エニックス / ダフト / Enix / DAFT,SHVC-N7,1994-03-25,Action / Side Scrolling
Rockman's Soccer,ロックマンズサッカー,カプコン / Capcom,SHVC-RQ,1994-03-25,Sports / Soccer
Kenyuu Densetsu Yaiba,ヤイバ 剣勇伝説YAIBA,バンプレスト / アトリエドゥーブル / Banpresto / Atelier Double,SHVC-YB,1994-03-25,Action / RPG
Super Robot Taisen EX,スーパーロボット大戦EX,バンプレスト / ウィンキーソフト / Banpresto / winkysoft,SHVC-E6,1994-03-25,Strategy / Turn Based
Melfand Stories,メルファンドストーリーズ,アスキー / ASCII,SHVC-YZ,1994-03-25,Action / Beat 'em Up
Shadowrun,シャドウラン,データイースト / Data East / Beam Software / FASA,SHVC-WR / SNS-WR,1994-03-25 / 1993-05-01,Action / RPG
